u,x,cluster,ttip
138,143,a,abc
93,104,a,abc
61,69,a,abc
179,260,a,abc
48,75,a,abc
37,63,a,abc
29,50,a,abc
23,48,a,abc
30,111,a,abc
2,50,a,abc
38,52,a,abc
46,53,a,abc
71,79,a,abc
25,57,a,abc
298,317,a,abc
74,93,a,abc
50,58,a,abc
76,80,a,abc
381,464,a,abc
387,459,a,abc
78,106,a,abc
60,57,a,abc
507,634,a,abc
50,64,b,abc
77,89,b,abc
64,77,b,abc
40,60,b,abc
136,139,b,abc
243,291,b,abc
256,288,b,abc
94,85,b,abc
36,46,b,abc
45,53,b,abc
67,67,b,abc
120,115,b,abc
172,183,b,abc
66,86,b,abc
46,65,b,abc
121,113,b,abc
44,58,b,abc
64,63,b,abc
56,142,b,abc
40,64,b,abc
116,130,b,abc
87,105,b,abc
43,61,b,abc
43,50,b,abc
161,232,b,abc
36,54,b,abc
