x,y,z,cluster,tooltip
649,868,739,1,2
876,307,756,5,7
784,617,847,1,2
92,727,345,1,3
833,841,857,3,2
433,299,939,8,7
519,620,502,1,2
723,900,196,1,2
296,881,676,1,2
484,622,150,1,2
204,499,685,1,1
58,321,376,1,2
489,18,565,3,2
990,408,376,1,2
148,647,547,10,7
230,499,332,4,6
263,26,992,1,2
302,272,757,1,2
33,311,517,6,4
923,265,376,1,2
128,555,357,10,5
904,355,298,3,6
331,459,288,1,2
207,659,688,1,2
372,500,588,1,2
665,802,66,4,2
665,55,44,1,1
167,523,91,1,2
799,702,508,1,2
302,87,749,1,2
775,980,484,1,1
473,936,530,1,2
846,529,879,3,8
319,49,903,2,2
55,921,588,1,2
273,850,187,1,2
869,576,900,8,6
191,148,217,1,1
76,145,233,9,2
495,762,766,3,6
222,170,901,9,6
602,250,489,1,3
869,9,972,2,8
525,683,411,6,10
753,237,135,4,8
991,831,23,1,2
269,792,792,4,4
904,609,838,1,2
960,400,28,3,2
980,629,209,2,4
10,498,227,1,2
907,96,868,4,2
133,825,230,2,3
626,590,289,8,10
673,666,739,6,8
745,614,596,3,4
347,21,1,1,3
616,102,421,1,5
680,540,636,1,6
44,411,941,2,2
373,512,320,5,3
748,537,15,1,2
815,715,531,1,10
914,322,144,1,5
411,629,629,1,2
893,62,512,1,3
61,326,797,1,2
138,298,27,1,8
72,986,54,3,4
321,106,172,1,2
735,754,976,1,2
376,382,870,8,10
233,949,93,2,2
216,77,601,10,6
387,738,268,1,3
370,211,539,1,2
432,894,942,1,2
965,223,432,2,2
94,31,620,1,2
664,349,630,1,3
896,715,584,1,1
101,973,325,2,2
485,930,126,1,2
124,559,534,1,2
929,876,721,8,8
334,272,931,1,10
266,557,382,4,5
524,729,312,6,5
172,179,76,1,2
844,323,824,2,3
273,108,516,1,2
135,940,707,2,2
345,331,823,1,2
680,408,733,1,2
558,784,225,1,2
679,635,226,1,2
718,679,878,2,2
609,675,841,1,2
718,216,866,2,10
738,962,445,10,5
459,477,807,1,10
533,697,95,4,2
599,660,482,1,2
467,221,926,1,6
253,71,432,10,10
290,396,258,4,3
927,357,989,8,2
870,488,123,10,8
237,762,258,1,2
129,19,961,4,3
588,171,178,2,2
709,719,643,3,5
475,580,829,10,2
761,916,47,3,10
24,461,587,1,2
901,24,317,1,2
711,418,179,1,2
458,398,103,10,4
888,424,529,1,4
351,875,200,1,2
967,26,437,2,2
921,658,647,1,2
297,163,638,2,10
543,150,24,1,8
988,519,699,7,9
819,828,167,1,2
495,598,741,7,4
904,615,384,1,2
761,421,709,4,5
855,80,236,1,10
912,536,772,1,2
218,603,990,1,2
239,759,697,10,8
521,877,560,1,2
107,495,680,1,3
909,778,765,1,2
219,385,767,1,2
100,237,595,1,2
510,309,113,1,2
687,12,60,1,1
901,378,665,1,2
124,452,460,1,2
506,400,332,4,4
793,709,50,1,2
229,727,854,1,2
460,848,463,1,2
791,557,363,2,6
710,214,710,1,3
460,854,187,3,8
819,529,272,4,10
337,178,187,1,1
936,675,997,1,6
665,10,252,6,4
792,992,3,1,2
827,444,51,1,2
166,967,960,6,3
203,926,67,1,2
334,326,589,1,2
93,861,892,1,3
