x,Y,Z,cluster
1,0,0,B
1,0,2,B
1,0,4,B
1,0.13,6,B
1,0.17,8,B
1,0.19,10,B
1,0.18,12,B
1,0.18,14,B
1,0.18,16,B
1,0.13,18,B
1,0.16,20,B
1,0.12,22,B
1,0.09,24,B
1,0,26,B
2,0,0,B
2,0,2,B
2,0,4,B
2,0.16,6,B
2,0.21,8,B
2,0.23,10,B
2,0.29,12,B
2,0.28,14,B
2,0.31,16,B
2,0.28,18,B
2,0.26,20,B
2,0.19,22,B
2,0.11,24,B
2,0,26,B
3,0,0,B
3,0,2,B
3,0,4,B
3,0.19,6,B
3,0.25,8,B
3,0.26,10,B
3,0.29,12,B
3,0.31,14,B
3,0.29,16,B
3,0.26,18,B
3,0.23,20,B
3,0.19,22,B
3,0.12,24,B
3,0,26,B
4,0,0,B
4,0,2,B
4,0,4,B
4,0.2,6,B
4,0.26,8,B
4,0.3,10,B
4,0.32,12,B
4,0.32,14,B
4,0.33,16,B
4,0.32,18,B
4,0.29,20,B
4,0.25,22,B
4,0.15,24,B
4,0,26,B
5,0,0,B
5,0,2,B
5,0,4,B
5,0.22,6,B
5,0.28,8,B
5,0.3,10,B
5,0.32,12,B
5,0.33,14,B
5,0.32,16,B
5,0.32,18,B
5,0.29,20,B
5,0.24,22,B
5,0.15,24,B
5,0,26,B
6,0,0,B
6,0,2,B
6,0,4,B
6,0.2,6,B
6,0.25,8,B
6,0.29,10,B
6,0.3,12,B
6,0.31,14,B
6,0.3,16,B
6,0.28,18,B
6,0.26,20,B
6,0.22,22,B
6,0.13,24,B
6,0,26,B
6.5,0,0,B
6.5,0,2,B
6.5,0,4,B
6.5,0.16,6,B
6.5,0.22,8,B
6.5,0.26,10,B
6.5,0.27,12,B
6.5,0.26,14,B
6.5,0.25,16,B
6.5,0.25,18,B
6.5,0.24,20,B
6.5,0.18,22,B
6.5,0.13,24,B
6.5,0,26,B
