x,y,z,c,t
21,22,114,5,1
41,10,130,7,2
90,30,37,8,6
65,60,81,6,3
56,62,134,1,1
148,55,18,8,3
136,15,100,4,4
75,101,135,2,1
144,40,148,4,2
10,52,33,9,7
72,127,131,7,4
24,118,35,7,4
69,22,82,7,6
27,86,48,6,9
41,35,6,7,6
71,77,67,4,3
120,9,128,3,2
107,116,6,5,2
89,35,149,8,5
7,77,68,3,1
49,74,126,2,1
99,127,86,4,4
143,145,17,3,2
93,96,79,8,5
79,20,140,4,2
110,115,73,8,3
139,121,28,8,9
42,141,55,8,5
44,9,14,7,6
103,140,113,4,2
31,44,26,4,1
61,37,52,1,1
99,98,37,6,4
39,82,17,7,10
9,120,61,7,6
21,106,35,5,3
141,34,86,5,3
24,8,83,4,2
96,25,68,6,6
114,144,38,6,2
46,101,149,8,4
37,125,111,5,4
130,69,122,4,3
102,39,32,8,3
120,95,112,5,2
81,91,117,7,5
70,13,105,7,8
107,149,43,1,1
24,93,125,6,6
145,95,24,7,2
84,38,87,8,8
94,68,99,4,1
39,45,99,3,2
16,83,13,6,5
70,145,113,6,4
120,50,100,11,7
65,67,56,4,4
116,98,117,4,2
45,74,55,5,2
74,150,79,8,5
108,21,37,5,2
79,58,29,1,1
137,116,41,4,2
121,110,73,6,5
13,47,94,1,2
105,13,41,4,1
94,110,83,4,3
55,122,21,2,2
64,59,18,7,6
30,23,127,6,4
23,23,73,5,4
133,62,108,7,3
108,64,88,4,5
132,91,69,6,1
115,54,16,5,2
63,61,131,4,3
33,145,49,4,3
119,48,39,4,4
118,129,18,5,3
95,45,78,4,2
134,86,98,7,8
38,110,14,8,4
83,44,41,7,4
130,35,61,8,7
1,64,81,1,1
49,4,71,3,2
53,53,42,6,6
16,4,122,8,10
66,18,19,5,7
122,109,37,6,4
20,137,74,8,9
6,50,105,7,4
28,92,131,6,3
16,38,14,6,6
39,117,40,6,2
113,80,35,6,5
63,31,62,5,3
101,18,75,6,4
38,104,64,6,2
108,126,106,9,4
126,53,150,5,1
38,26,76,6,4
72,16,16,7,5
39,140,8,2,1
97,89,50,2,1
39,16,99,7,2
129,58,52,6,3
144,58,138,6,3
140,79,125,6,4
78,2,121,1,1
50,112,83,7,2
61,64,132,6,2
92,139,36,7,4
45,76,145,7,3
32,75,127,8,8
69,52,46,5,2
20,63,139,2,1
123,10,81,7,7
120,25,1,6,3
8,136,4,5,3
18,1,28,5,2
56,55,106,2,2
140,70,55,4,3
39,128,12,4,3
67,59,15,7,7
51,96,39,4,2
59,19,119,5,4
113,60,89,5,2
82,111,59,6,6
90,150,38,1,1
14,108,66,2,1
133,83,110,5,3
95,140,90,1,1
57,118,98,1,1
81,10,78,5,3
95,102,86,6,3
116,122,92,6,4
109,111,8,2,1
74,60,45,8,5
107,88,38,4,1
2,18,69,8,6
34,133,113,1,0
3,9,65,2,1
73,74,24,7,4
81,47,7,3,2
44,144,148,8,11
80,130,21,4,3
121,104,127,6,2
101,98,93,7,3
12,81,104,5,5
55,139,70,6,3
49,125,30,8,5
88,80,59,5,6
9,122,20,6,7
75,105,141,6,4
49,138,95,5,2
12,23,24,4,4
58,13,41,8,4
99,79,147,6,7
55,150,78,5,4
22,73,95,7,5
86,70,98,4,4
93,142,34,5,1
81,119,143,4,1
135,81,31,6,3
17,3,113,7,4
77,110,142,7,6
60,7,56,5,6
143,3,142,7,4
148,23,18,7,3
141,90,24,6,3
91,57,133,2,1
111,109,101,6,8
85,103,75,6,4
120,67,37,6,4
81,111,18,6,2
31,105,29,2,2
24,4,60,6,4
36,63,107,6,3
56,94,43,4,4
56,61,41,8,5
38,110,142,8,4
63,54,17,7,2
40,146,104,6,2
62,12,70,8,2
37,81,71,7,4
68,40,122,4,4
141,148,11,4,3
126,103,24,4,4
14,29,30,4,1
81,67,22,8,9
134,131,99,7,4
1,56,71,5,7
72,139,71,8,6
