x,y,z,c,t
6.185185,7.3333335,7.6666665,3.5555556,3.4444444
6.6666665,8.333334,7.7777777,3.8888888,5
6.111111,7.5555553,7.2222223,3.5555556,4.3333335
5.851852,7.7777777,6.4444447,3.3333333,5.7777777
6.037037,7,7.6666665,3.4444444,2.8888888
5.5555553,6.888889,6.6666665,3.1111112,4
20,19.555555,25.88889,14.555555,-1.3333334
17.925926,18.88889,21.444445,13.444445,2.8888888
17.666666,19,21.11111,12.888889,4
21.296297,21.222221,26.777779,15.888889,-0.22222222
3.925926,5.5555553,4,2.2222223,4.888889
23.444445,21.666666,31.11111,17.555555,-5.3333335
6.3333335,7.888889,7.3333335,3.7777777,4.6666665
21.703703,21.222221,27.555555,16.333334,-1.4444444
18.74074,17.333334,25.222221,13.666667,-4.2222223
6.259259,7.7777777,7.2222223,3.7777777,4.5555553
6.037037,7.4444447,7.3333335,3.3333333,4.2222223
17.962963,18.88889,21.88889,13.111111,2.7777777
6.4814816,7.5555553,8.222222,3.6666667,3.2222223
5.888889,7.111111,7.111111,3.4444444,3.6666667
5.6296296,6.7777777,7,3.1111112,3.4444444
26.74074,24.666666,35.22222,20.333334,-6.2222223
5.4444447,4.111111,8.666667,3.5555556,-4
21.407408,21.333334,26.666666,16.222223,-0.22222222
23.851852,23.555555,30,18,-0.8888889
23.074074,22.11111,29.777779,17.333334,-2.8888888
5.740741,7.3333335,6.5555553,3.3333333,4.7777777
6.4444447,7.7777777,7.888889,3.6666667,4
20.25926,20,25.444445,15.333333,-0.7777778
26.296297,24.666666,34.444447,19.777779,-4.888889
128,117.77778,142.33334,123.888885,-30.666666
110.59259,96.77778,128.66667,106.333336,-41.444443
109.703705,95.111115,128.88889,105.111115,-43.77778
93.40741,79,118,83.22222,-43.22222
125,114,140.55556,120.44444,-33
128.44444,119.22222,142.88889,123.22222,-27.666666
136.2963,129.77779,146.33334,132.77779,-19.555555
113.48148,105.888885,128.55556,106,-22.777779
113.37037,102.55556,132,105.55556,-32.444443
143.44444,136.88889,150.88889,142.55556,-19.666666
107.74074,93.888885,126.55556,102.77778,-41.555557
138.62962,133.33334,147.55556,135,-15.888889
108.92593,95.666664,126.22222,104.888885,-39.77778
112.111115,97.22222,130.44444,108.666664,-44.666668
